data,genere,titolo,autore,descrizione,immagine,audio,link
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse.",https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858d6f2131051b83a249c.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse.",https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858cd6a6dd1b69a80572b.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse.",https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3858aaf2131051b83a1fb6.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,Libro rosa psicologico,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
2026/06/30,Romanzo Rosa,Sotto la luna di mezzanotte,Maurizio Guida,"Un amore che non pretende, non impone, non forza, semplicemente resta. Maver e Serine si incontrano nel cuore della notte, tra i corridoi silenziosi di un lavoro che non è la loro vita, ma che per caso diventa il luogo dove le loro esistenze si scontrano e lentamente si intrecciano. Non è un colpo di fulmine. È una gravità lenta, inesorabile, fatta di sguardi rubati, parole non dette e silenzi che parlano più di mille promesse.",https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a3857e5c50697c411d1c3c3.png,https://assets.cdn.filesafe.space/xSSoqWxggQPWcr2ERD0L/media/6a61df9c7a83e05cd035aa90.m4a,https://www.amazon.it/dp/B0GMTX127F
